PartType                                RefDes                        PartDecal                                Pins      Layer                          Orient.                        X                              Y                             SMD       Glued
470n                                    C1                            0402                                     2         Top                            90                             347,44094488189                320,866141732283              True      False     
470n                                    C2                            0402                                     2         Bottom                         0                              327,755905511811               20,6692913385827              True      False     
PMEG3002ER                              D1                            SOD523                                   2         Bottom                         270                            129,92125984252                75,7874015748032              True      False     
PMEG3002ER                              D2                            SOD523                                   2         Bottom                         270                            79,7244094488189               75,7874015748032              True      False     
10k                                     R1                            0402                                     2         Bottom                         180                            221,456692913386               189,96062992126               True      False     
220R                                    R2                            0402                                     2         Bottom                         180                            83,6614173228347               161,417322834646              True      False     
10k                                     R3                            0402                                     2         Bottom                         0                              278,543307086614               57,0866141732283              True      False     
100k                                    R4                            0402                                     2         Bottom                         90                             30,511811023622                279,527559055118              True      False     
150k / 196k                             R5                            0402                                     2         Bottom                         270                            30,511811023622                54,1338582677165              True      False     
90,9k / 84,9k                           R6                            0402                                     2         Bottom                         270                            25,5905511811024               171,259842519685              True      False     
LT1118SO                                U1                            SO8-OPT                                  8         Top                            90                             178,149606299213               348,425196850394              True      False     
ATTINY841                               U2                            20M2                                     21        Bottom                         0                              114,173228346457               251,968503937008              True      False     
